0, 0, -2.4267
0, 1, 0
0, 2, -20.9798
0, 3, -7.53609
0, 4, -11.051
0, 5, -6.97527
0, 6, -1.90861
0, 7, 4.43006
0, 8, 0.741429
0, 9, -7.93629
0, 10, -1.69218
0, 11, 2.24643
0, 12, 0.94434
0, 13, -2.44364

1, 0, 3.81441
1, 1, 0
1, 2, 35.4682
1, 3, 8.8116
1, 4, 27.8838
1, 5, 6.18243
1, 6, 11.7143
1, 7, -12.5733
1, 8, 8.36757
1, 9, 13.7402
1, 10, 8.0579
1, 11, -4.99652
1, 12, -1.16277
1, 13, 4.12321

2, 0, -2.73348
2, 1, 0
2, 2, -24.2553
2, 3, -3.83871
2, 4, -20.1285
2, 5, -2.37479
2, 6, -3.00094
2, 7, 8.27047
2, 8, 6.11515
2, 9, -17.6353
2, 10, 10.8875
2, 11, -5.63196
2, 12, 19.0041
2, 13, -11.7471

3, 0, 2.49174
3, 1, 0
3, 2, 21.3123
3, 3, 4.74858
3, 4, -1.10909
3, 5, 7.12491
3, 6, -5.86438
3, 7, 0.800041
3, 8, -14.5467
3, 9, 2.15647
3, 10, -10.6826
3, 11, 2.25208
3, 12, -6.68059
3, 13, 4.11566

4, 0, -0.314277
4, 1, 0
4, 2, -8.55947
4, 3, 1.64554
4, 4, -11.1655
4, 5, 3.55621
4, 6, -18.8081
4, 7, 7.85994
4, 8, -27.3781
4, 9, 13.1453
4, 10, -29.1931
4, 11, 15.1635
4, 12, -26.9119
4, 13, 12.718

5, 0, 0.144763
5, 1, 0
5, 2, -0.737904
5, 3, 1.23188
5, 4, 18.9617
5, 5, -2.4501
5, 6, 1.81524
5, 7, -6.58489
5, 8, -0.790088
5, 9, 23.1701
5, 10, -10.1145
5, 11, 8.91658
5, 12, -22.6879
5, 13, 12.8449

6, 0, 0
6, 1, 0
6, 2, 5.76666
6, 3, 1.51762
6, 4, 29.9826
6, 5, -4.98264
6, 6, 29.3692
6, 7, -15.6829
6, 8, 45.7701
6, 9, -1.72473
6, 10, 43.5832
6, 11, -19.1966
6, 12, 30.2384
6, 13, -12.6963

7, 0, 1.21633
7, 1, 0
7, 2, 18.4225
7, 3, 4.41506
7, 4, -5.01003
7, 5, 5.7025
7, 6, 20.6415
7, 7, -2.61086
7, 8, 37.5378
7, 9, -39.236
7, 10, 55.2314
7, 11, -33.618
7, 12, 66.4994
7, 13, -32.8358

8, 0, 1.76637
8, 1, 0
8, 2, 9.14957
8, 3, 5.7568
8, 4, -63.084
8, 5, 19.7571
8, 6, -42.9767
8, 7, 29.3469
8, 8, -60.5676
8, 9, -26.711
8, 10, -38.2788
8, 11, 8.18938
8, 12, -1.90072
8, 13, -2.80532

9, 0, 5.69164e-321
9, 1, 0
9, 2, -22.6359
9, 3, 0.904866
9, 4, -47.0727
9, 5, 11.3289
9, 6, -83.0925
9, 7, 32.4718
9, 8, -133.455
9, 9, 57.2924
9, 10, -145.941
9, 11, 74.1774
9, 12, -134.742
9, 13, 63.7533

10, 0, 0.809629
10, 1, 0
10, 2, -3.30401
10, 3, 5.19797
10, 4, 97.7865
10, 5, -13.5344
10, 6, 8.0552
10, 7, -33.8682
10, 8, -7.81944
10, 9, 121.117
10, 10, -57.3215
10, 11, 48.6934
10, 12, -122.379
10, 13, 68.8034

11, 0, -1.03207
11, 1, 0
11, 2, 20.888
11, 3, 4.28279
11, 4, 154.909
11, 5, -29.9419
11, 6, 152.447
11, 7, -81.0516
11, 8, 237.925
11, 9, -8.11361
11, 10, 223.293
11, 11, -96.7739
11, 12, 152.567
11, 13, -64.3054

12, 0, 0.787152
12, 1, 0
12, 2, 50.1721
12, 3, 3.44408
12, 4, -42.095
12, 5, 9.83737
12, 6, 111.085
12, 7, -8.424
12, 8, 206.434
12, 9, -221.723
12, 10, 289.765
12, 11, -171.904
12, 12, 350.074
12, 13, -176.958

13, 0, -1.50235
13, 1, 0
13, 2, -36.4941
13, 3, -13.7577
13, 4, -353.99
13, 5, 58.1955
13, 6, -207.723
13, 7, 158.442
13, 8, -285.842
13, 9, -179.421
13, 10, -189.815
13, 11, 46.1302
13, 12, 1.41818
13, 13, -28.3794

14, 0, 0.549212
14, 1, 0
14, 2, -94.9613
14, 3, -12.2442
14, 4, -187.539
14, 5, 32.9101
14, 6, -373.951
14, 7, 135.813
14, 8, -625.813
14, 9, 287.89
14, 10, -707.689
14, 11, 364.512
14, 12, -673.221
14, 13, 320.293

15, 0, -0.126992
15, 1, 0
15, 2, -38.7498
15, 3, 8.85698
15, 4, 504.287
15, 5, -90.7597
15, 6, 86.9741
15, 7, -183.696
15, 8, 37.1578
15, 9, 565.308
15, 10, -213.252
15, 11, 209.96
15, 12, -544.974
15, 13, 309.36

